gender,ethnicity,age_category,year_assessment,height,weight,bmi
Girl,Turkish,13-16 years,1999,153,52,22.213678
Boy,Dutch,13-16 years,1999,172,55,18.59113
Girl,Dutch,13-16 years,1999,166,50,18.144869
Boy,Dutch,13-16 years,1999,165,46.5,17.07989
Girl,Surinamese South Asian,13-16 years,1999,166,73.5,26.672957
Girl,Surinamese South Asian,13-16 years,1999,160,64,25
Boy,Dutch,13-16 years,1999,152,43,18.611496
Boy,Turkish,13-16 years,1999,154,39,16.444594
Girl,Turkish,13-16 years,1999,162,48.5,18.480415
Boy,Turkish,13-16 years,1999,166,55,19.959355
Boy,Dutch,13-16 years,1999,170,52,17.99308
Girl,Dutch,13-16 years,1999,159,66,26.106562
Girl,Maroccan,13-16 years,1999,159,73,28.87544
Girl,Turkish,13-16 years,1999,158,66,26.438071
Girl,Dutch,13-16 years,1999,164,53.5,19.891434
Girl,Maroccan,13-16 years,1999,164,54,20.077335
Girl,Maroccan,13-16 years,1999,154,44.5,18.763704
Girl,Dutch,13-16 years,1999,170,59,20.415225
Girl,Dutch,13-16 years,1999,161,61,23.533043
Girl,Dutch,13-16 years,1999,163,55,20.700817
Boy,Maroccan,13-16 years,1999,158,45,18.025957
Boy,Turkish,13-16 years,1999,161,47,18.132017
Girl,Surinamese South Asian,13-16 years,1999,162,62,23.624447
Girl,Surinamese South Asian,13-16 years,1999,160,39,15.234375
Boy,Surinamese South Asian,13-16 years,1999,153,42,17.941817
Girl,Maroccan,13-16 years,1999,158,54,21.631149
Girl,Turkish,13-16 years,1999,160,43,16.796875
Girl,Dutch,13-16 years,1999,167,63.5,22.768834
Girl,Dutch,13-16 years,1999,161,54,20.83253
Boy,Dutch,13-16 years,1999,143,38,18.582816
Girl,Dutch,13-16 years,1999,171,64,21.887076
Girl,Maroccan,13-16 years,1999,157,57,23.12467
Boy,Dutch,13-16 years,1999,161,43.5,16.78176
Boy,Dutch,13-16 years,1999,173,54.5,18.209763
Boy,Dutch,13-16 years,1999,155,57.5,23.933403
Girl,Surinamese South Asian,13-16 years,1999,151,47.5,20.83242
Boy,Dutch,13-16 years,1999,153,42,17.941817
Girl,Dutch,13-16 years,1999,157,47.5,19.270559
Boy,Dutch,13-16 years,1999,159,48,18.986591
Girl,Maroccan,13-16 years,1999,150,47,20.888889
Girl,Maroccan,13-16 years,1999,158,44,17.625381
Boy,Turkish,13-16 years,1999,160,45,17.578125
Girl,Dutch,13-16 years,1999,163,48.5,18.254357
Girl,Dutch,13-16 years,1999,170,55,19.031142
Girl,Dutch,13-16 years,1999,167,65,23.30668
Boy,Dutch,13-16 years,1999,145,42,19.976219
Girl,Dutch,13-16 years,1999,159,43,17.008821
Girl,Surinamese South Asian,13-16 years,1999,158,43,17.224804
Girl,Dutch,13-16 years,1999,165,44,16.161616
Boy,Dutch,13-16 years,1999,139,39,20.185291
Girl,Dutch,13-16 years,1999,158,41,16.42365
Girl,Dutch,13-16 years,1999,160,43,16.796875
Girl,Surinamese South Asian,13-16 years,1999,156,37.5,15.40927
Boy,Surinamese South Asian,13-16 years,1999,167,44,15.77683
Boy,Dutch,13-16 years,1999,173,62,20.715694
Girl,Dutch,13-16 years,1999,164,52,19.33373
Girl,Maroccan,13-16 years,1999,166,70,25.402816
Boy,Dutch,13-16 years,1999,151,38,16.665936
Girl,Dutch,13-16 years,1999,169,72,25.209201
Boy,Dutch,13-16 years,1999,160,56.5,22.070312
Girl,Turkish,13-16 years,1999,170,92.5,32.00692
Girl,Dutch,13-16 years,1999,166,46,16.693279
Girl,Dutch,13-16 years,1999,167,46,16.493958
Girl,Maroccan,13-16 years,1999,156,38,15.614727
Girl,Maroccan,13-16 years,1999,158,66,26.438071
Boy,Dutch,13-16 years,1999,165,60.5,22.222222
Girl,Dutch,13-16 years,1999,166,49,17.781971
Girl,Dutch,13-16 years,1999,176,104,33.57438
Boy,Dutch,13-16 years,1999,168,52.5,18.60119
Boy,Dutch,13-16 years,1999,160,40.5,15.820312
Girl,Maroccan,13-16 years,1999,160,62,24.21875
Girl,Dutch,7-10 years,1999,134,42,23.39051
Girl,Surinamese South Asian,7-10 years,1999,136,34,18.382353
Girl,Dutch,7-10 years,1999,136,44,23.788927
Boy,Surinamese South Asian,7-10 years,1999,134,25,13.922923
Girl,Maroccan,7-10 years,1999,129,30,18.027763
Boy,Dutch,7-10 years,1999,135,25,13.717421
Boy,Surinamese South Asian,7-10 years,1999,127,23,14.260029
Girl,Surinamese South Asian,7-10 years,1999,135,31,17.009602
Girl,Surinamese South Asian,3-6 years,1999,124,25,16.259105
Boy,Dutch,3-6 years,1999,117.8,23,16.574379
Boy,Dutch,3-6 years,1999,122,23.5,15.788766
Girl,Dutch,3-6 years,1999,125,21.5,13.76
Boy,Dutch,3-6 years,1999,120,24.1,16.736111
Boy,Dutch,3-6 years,1999,112,21,16.741071
Boy,Surinamese South Asian,3-6 years,1999,116,20,14.863258
Girl,Dutch,3-6 years,1999,110,17,14.049587
Girl,Dutch,3-6 years,1999,121,23,15.709309
Girl,Dutch,3-6 years,1999,107,18,15.721897
Boy,Dutch,3-6 years,1999,116,21,15.606421
Boy,Dutch,3-6 years,1999,110,21,17.355372
Boy,Surinamese South Asian,3-6 years,1999,111,17,13.797581
